time,open,high,low,close,tr,atr,hl2,basic_upper_band,basic_lower_band,ema,supertrend,trend,signal,combined_signal
2025-04-01 09:15:00,23353.0,23563.2,23343.75,23456.1,219.45000000000073,219.45000000000073,23453.475,24221.550000000003,22685.399999999994,23456.1,22685,1,0,0
2025-04-01 10:15:00,23455.6,23483.7,23221.35,23228.95,262.3500000000022,223.74000000000086,23352.525,24135.615000000005,22569.434999999998,23452.6320610687,22685,1,0,0
2025-04-01 11:15:00,23229.0,23258.8,23173.4,23209.9,85.39999999999782,209.90600000000057,23216.1,23950.771,22481.428999999996,23448.926228075285,22685,1,0,0
2025-04-01 12:15:00,23209.25,23252.25,23174.3,23192.45,77.95000000000073,196.7104000000006,23213.275,23901.761400000003,22524.7886,23445.01056047108,22685,1,0,0
2025-04-01 13:15:00,23192.15,23195.15,23136.4,23161.55,58.75,182.91436000000053,23165.775,23805.975260000003,22525.57474,23440.68291832648,22685,1,0,0
2025-04-01 14:15:00,23163.1,23180.35,23137.45,23174.5,42.89999999999782,168.91292400000026,23158.9,23750.095234000004,22567.704766,23436.619056977986,22685,1,0,0
2025-04-01 15:15:00,23174.9,23192.6,23151.8,23192.6,40.79999999999927,156.10163160000016,23172.199999999997,23718.555710599998,22625.844289399996,23432.89357519206,22685,1,0,0
2025-04-02 09:15:00,23209.05,23292.9,23160.4,23238.85,132.5,153.74146844000015,23226.65,23764.745139540002,22688.55486046,23429.931077860885,22689,1,0,0
2025-04-02 10:15:00,23238.15,23311.85,23224.6,23287.5,87.25,147.09232159600012,23268.225,23783.048125586,22753.401874413998,23427.7565575882,22753,1,0,0
2025-04-02 11:15:00,23287.55,23295.3,23246.15,23281.45,49.14999999999782,137.2980894363999,23270.725,23751.268313027398,22790.1816869726,23425.52286968609,22790,1,0,0
2025-04-02 12:15:00,23281.25,23300.0,23238.95,23287.65,61.04999999999927,129.67328049275983,23269.475,23723.331481724657,22815.61851827534,23423.417940377905,22816,1,0,0
2025-04-02 13:15:00,23287.9,23307.0,23254.75,23278.3,52.25,121.93095244348385,23280.875,23707.633333552192,22854.116666447808,23421.20239930343,22854,1,0,0
2025-04-02 14:15:00,23279.1,23349.85,23276.6,23337.75,73.25,117.06285719913546,23313.225,23722.945000196974,22903.504999803023,23419.92831687132,22904,1,0,0
2025-04-02 15:15:00,23338.0,23342.0,23324.6,23330.8,17.400000000001455,107.09657147922208,23333.3,23708.138000177278,22958.46199982272,23418.56757920916,22958,1,0,0
2025-04-03 09:15:00,23160.35,23281.85,23159.6,23277.6,171.20000000000073,113.50691433129995,23220.725,23617.99920015955,22823.450799840448,23416.41540242734,22958,1,0,0
2025-04-03 10:15:00,23278.3,23306.25,23253.4,23278.95,52.849999999998545,107.44122289816981,23279.825,23655.869280143594,22903.780719856408,23414.316693993336,22958,1,0,0
2025-04-03 11:15:00,23279.35,23294.75,23248.9,23273.5,45.849999999998545,101.28210060835268,23271.825,23626.312352129236,22917.337647870765,23412.1668208026,22958,1,0,0
2025-04-03 12:15:00,23275.95,23279.8,23250.6,23258.95,29.200000000000728,94.07389054751748,23265.199999999997,23594.45861691631,22935.941383083686,23409.827632698743,22958,1,0,0
2025-04-03 13:15:00,23260.35,23278.4,23253.95,23255.3,24.450000000000728,87.11150149276581,23266.175000000003,23571.065255224683,22961.284744775323,23407.468432199526,22961,1,0,0
2025-04-03 14:15:00,23254.8,23271.55,23240.8,23253.05,30.75,81.47535134348924,23256.175,23541.338729702213,22971.011270297786,23405.1108988835,22971,1,0,0
2025-04-03 15:15:00,23253.75,23255.75,23236.4,23241.6,19.349999999998545,75.26281620914017,23246.075,23509.49485673199,22982.65514326801,23402.614549282225,22983,1,0,0
2025-04-04 09:15:00,23208.15,23210.5,22941.25,22941.95,300.34999999999854,97.771534588226,23075.875,23418.075371058792,22733.674628941208,23395.5815027283,23418,-1,-1,-1
2025-04-04 10:15:00,22941.7,23029.9,22921.95,23013.05,107.95000000000073,98.78938112940348,22975.925000000003,23321.687833952914,22630.162166047092,23389.741327114127,23322,-1,0,-1
2025-04-04 11:15:00,23013.75,23026.2,22944.75,22965.3,81.45000000000073,97.0554430164632,22985.475,23325.16905055762,22645.78094944238,23383.261306852844,23322,-1,0,-1
2025-04-04 12:15:00,22965.35,22991.6,22937.2,22938.05,54.39999999999782,92.78989871481667,22964.4,23289.16464550186,22639.635354498143,23376.46418766425,23289,-1,0,-1
2025-04-04 13:15:00,22938.15,22966.75,22875.15,22909.6,91.59999999999854,92.67090884333486,22920.95,23245.29818095167,22596.60181904833,23369.336490142658,23245,-1,0,-1
2025-04-04 14:15:00,22908.6,22921.55,22858.15,22911.0,63.39999999999782,89.74381795900115,22889.85,23203.953362856504,22575.746637143493,23362.33898647636,23204,-1,0,-1
2025-04-04 15:15:00,22909.45,22920.6,21758.4,21758.4,1162.199999999997,196.98943616310075,22339.5,23028.96302657085,21650.03697342915,23337.851368362215,23029,-1,0,-1
2025-04-07 09:15:00,21807.75,22188.4,21807.75,21918.15,430.0,220.2904925467907,21998.075,22769.091723913767,21227.058276086234,23316.176538310883,22769,-1,0,-1
2025-04-07 10:15:00,21916.0,22082.7,21898.3,21986.3,184.40000000000146,216.70144329211178,21990.5,22748.955051522393,21232.044948477607,23295.873079710716,22749,-1,0,-1
2025-04-07 11:15:00,21985.8,22069.5,21886.15,21890.95,183.34999999999854,213.36629896290046,21977.825,22724.60704637015,21231.04295362985,23274.423872386888,22725,-1,0,-1
2025-04-07 12:15:00,21890.15,21943.25,21796.9,21859.65,146.34999999999854,206.66466906661026,21870.075,22593.401341733137,21146.748658266864,23252.82427128174,22593,-1,0,-1
2025-04-07 13:15:00,21860.85,22037.8,21814.35,21997.7,223.45000000000073,208.34320215994933,21926.074999999997,22655.27620755982,21196.873792440176,23233.662068666752,22593,-1,0,-1
2025-04-07 14:15:00,21998.9,22210.4,21973.4,22184.65,237.0,211.2088819439544,22091.9,22831.13108680384,21352.66891319616,23217.646617236725,22593,-1,0,-1
2025-04-07 15:15:00,22184.3,22253.2,22134.65,22238.0,118.54999999999927,201.9429937495589,22193.925000000003,22900.72547812346,21487.124521876547,23202.69018033235,22593,-1,0,-1
2025-04-08 09:15:00,22473.35,22573.1,22378.5,22383.95,335.09999999999854,215.25869437460287,22475.8,23229.20543031111,21722.394569688888,23190.190330250938,22593,-1,0,-1
2025-04-08 10:15:00,22384.55,22489.95,22272.9,22436.55,217.04999999999927,215.43782493714252,22381.425000000003,23135.457387280003,21627.392612720003,23178.684371010466,22593,-1,0,-1
2025-04-08 11:15:00,22436.15,22552.3,22319.4,22552.3,232.89999999999782,217.18404244342807,22435.85,23195.994148551996,21675.705851448,23169.121250842367,22593,-1,0,-1
2025-04-08 12:15:00,22554.3,22671.15,22506.05,22666.4,165.10000000000218,211.9756381990855,22588.6,23330.514733696797,21846.6852663032,23161.44611724172,21847,1,1,0
2025-04-08 13:15:00,22666.3,22696.65,22461.75,22598.4,234.90000000000146,214.2680743791771,22579.2,23329.13826032712,21829.261739672882,23152.84999331437,21847,1,0,0
2025-04-08 14:15:00,22602.15,22664.9,22517.15,22528.4,147.75,207.6162669412594,22591.025,23317.68193429441,21864.368065705592,23143.31640563018,21864,1,0,0
2025-04-08 15:15:00,22528.3,22555.75,22517.95,22547.2,37.79999999999927,190.63464024713338,22536.85,23204.071240864967,21869.62875913503,23134.215391803762,21870,1,0,0
2025-04-09 09:15:00,22453.25,22468.3,22357.05,22371.2,190.15000000000146,190.5861762224202,22412.675,23079.72661677847,21745.62338322153,23122.56630185256,21870,1,0,0
2025-04-09 10:15:00,22370.25,22424.9,22353.5,22374.55,71.40000000000146,178.66755860017832,22389.2,23014.536455100624,21763.863544899377,23111.14620564107,21870,1,0,0
2025-04-09 11:15:00,22374.3,22435.45,22368.7,22432.15,66.75,167.4758027401605,22402.075,22988.24030959056,21815.90969040944,23100.779851356474,21870,1,0,0
2025-04-09 12:15:00,22431.55,22448.8,22409.7,22432.1,39.099999999998545,154.6382224661443,22429.25,22970.483778631504,21888.016221368496,23090.57099866401,21888,1,0,0
2025-04-09 13:15:00,22431.8,22432.9,22396.35,22402.25,36.55000000000291,142.82940021953016,22414.625,22914.527900768357,21914.722099231643,23080.062281127153,21915,1,0,0
2025-04-09 14:15:00,22402.4,22409.15,22387.35,22402.7,21.80000000000291,130.72646019757744,22398.25,22855.792610691522,21940.707389308478,23069.720872254984,21941,1,0,0
2025-04-09 15:15:00,22402.9,22424.75,22393.45,22420.4,31.299999999999272,120.78381417781962,22409.1,22831.843349622366,21986.35665037763,23059.80757649537,21986,1,0,0
2025-04-11 09:15:00,22732.5,22874.25,22709.95,22832.7,453.84999999999854,154.09043276003752,22792.1,23331.41651466013,22252.783485339867,23056.340285251164,22253,1,0,0
2025-04-11 10:15:00,22833.2,22845.45,22736.05,22834.7,109.40000000000146,149.6213894840339,22790.75,23314.42486319412,22267.07513680588,23052.95646410229,22267,1,0,0
2025-04-11 11:15:00,22834.2,22909.45,22820.3,22907.85,89.15000000000146,143.57425053563065,22864.875,23367.38487687471,22362.36512312529,23050.741098238137,22362,1,0,0
2025-04-11 12:15:00,22908.35,22923.9,22872.75,22904.5,51.150000000001455,134.33182548206776,22898.325,23368.486389187237,22428.163610812764,23048.508409715414,22428,1,0,0
2025-04-11 13:15:00,22905.4,22908.45,22770.4,22785.55,138.04999999999927,134.70364293386092,22839.425000000003,23310.887750268517,22367.96224973149,23044.49377750602,22428,1,0,0
2025-04-11 14:15:00,22786.15,22840.15,22762.0,22830.35,78.15000000000146,129.048278640475,22801.075,23252.743975241665,22349.406024758337,23041.224406857073,22428,1,0,0
2025-04-11 15:15:00,22831.05,23368.35,22810.95,23368.35,557.3999999999978,171.88345077642728,23089.65,23691.242077717496,22488.057922282507,23046.21869072185,22488,1,0,1
2025-04-15 09:15:00,23346.8,23346.8,23211.4,23312.1,156.9499999999971,170.39010569878425,23279.1,23875.465369945745,22682.734630054252,23050.27794735205,22683,1,0,1
2025-04-15 10:15:00,23311.95,23319.05,23292.8,23295.15,26.25,155.97609512890583,23305.925,23851.84133295117,22760.008667048827,23054.01645197263,22760,1,0,1
2025-04-15 11:15:00,23295.65,23334.5,23291.65,23332.55,42.849999999998545,144.6634856160151,23313.075,23819.397199656054,22806.752800343947,23058.268872553203,22807,1,0,1
2025-04-15 12:15:00,23333.35,23350.65,23328.25,23337.7,22.400000000001455,132.43713705441374,23339.45,23802.979979690448,22875.920020309553,23062.53499663636,22876,1,0,1
2025-04-15 13:15:00,23337.4,23340.9,23315.2,23326.05,25.700000000000728,121.76342334897245,23328.050000000003,23754.221981721406,22901.8780182786,23066.558126458705,22902,1,0,1
2025-04-15 14:15:00,23326.0,23334.9,23308.35,23321.2,26.55000000000291,112.2420810140755,23321.625,23714.472283549265,22928.777716450735,23070.445788650173,22929,1,0,1
2025-04-15 15:15:00,23320.95,23357.1,23319.75,23344.1,37.349999999998545,104.75287291266781,23338.425,23705.060055194335,22971.789944805663,23074.62371554101,22972,1,0,1
2025-04-16 09:15:00,23345.25,23372.5,23277.9,23355.8,94.59999999999854,103.73758562140088,23325.2,23688.281549674903,22962.1184503251,23078.916483242672,22972,1,0,1
2025-04-16 10:15:00,23354.7,23358.95,23274.0,23318.85,84.95000000000073,101.85882705926088,23316.475,23672.980894707413,22959.969105292585,23082.579590368736,22972,1,0,1
2025-04-16 11:15:00,23319.4,23349.6,23316.0,23341.2,33.599999999998545,95.03294435333464,23332.8,23665.41530523667,23000.184694763328,23086.527993569212,23000,1,0,1
2025-04-16 12:15:00,23341.1,23362.05,23332.75,23357.3,29.299999999999272,88.4596499180011,23347.4,23657.008774713006,23037.791225286997,23090.661917331512,23038,1,0,1
2025-04-16 13:15:00,23356.95,23430.5,23286.0,23430.5,144.5,94.063684926201,23358.25,23687.472897241703,23029.027102758297,23095.85028500584,23038,1,0,1
2025-04-16 14:15:00,23429.95,23439.15,23395.7,23424.55,43.45000000000073,89.00231643358097,23417.425000000003,23728.933107517536,23105.91689248247,23100.86860126529,23106,1,0,1
2025-04-16 15:15:00,23424.3,23452.05,23420.85,23433.3,31.200000000000728,83.22208479022295,23436.449999999997,23727.727296765777,23145.172703234217,23105.94388979559,23145,1,0,1
2025-04-17 09:15:00,23387.0,23434.55,23299.15,23353.4,135.39999999999782,88.43987631120044,23366.85,23676.3895670892,23057.310432910795,23109.721845676577,23145,1,0,1
2025-04-17 10:15:00,23352.75,23444.85,23342.3,23440.1,102.54999999999927,89.85088868008032,23393.574999999997,23708.05311038028,23079.096889619716,23114.76578696396,23145,1,0,1
2025-04-17 11:15:00,23440.95,23646.75,23439.35,23634.45,207.40000000000146,101.60579981207243,23543.05,23898.67029934225,23187.429700657747,23122.699897086644,23187,1,0,1
2025-04-17 12:15:00,23634.25,23788.65,23623.0,23788.65,165.65000000000146,108.01021983086534,23705.825,24083.86076940803,23327.78923059197,23132.86707423036,23328,1,0,1
2025-04-17 13:15:00,23787.85,23871.25,23761.7,23831.15,109.54999999999927,108.16419784777874,23816.475,24195.049692467222,23437.900307532775,23143.527882257375,23438,1,0,1
2025-04-17 14:15:00,23828.7,23871.3,23783.8,23847.0,87.5,106.09777806300086,23827.55,24198.8922232205,23456.207776779498,23154.267914589323,23456,1,0,1
2025-04-17 15:15:00,23847.2,23862.2,23831.35,23837.75,30.850000000002183,98.573000256701,23846.775,24191.780500898454,23501.76949910155,23164.702755587958,23502,1,0,1
