stat,uid,actid,exch,tsym,s_prdt_ali,prd,token,instname,dname,frzqty,pp,ls,ti,mult,prcftr,daybuyqty,daysellqty,daybuyamt,daybuyavgprc,daysellamt,daysellavgprc,cfbuyqty,cfsellqty,cfbuyamt,cfbuyavgprc,cfsellamt,cfsellavgprc,openbuyqty,opensellqty,openbuyamt,openbuyavgprc,opensellamt,opensellavgprc,dayavgprc,netqty,netavgprc,upldprc,netupldprc,lp,urmtom,bep,totbuyamt,totsellamt,totbuyavgprc,totsellavgprc,rpnl,PnL,type,sp,expiry,Days_to_Expiry,exit_breakeven_per,exit_loss_per
Ok,ADMIN,FA417461,NFO,NIFTY06MAR25C22800,NRML,M,68458,OPTIDX,NIFTY 06MAR25 22800 CE ,1801,2,75,0.05,1,1.000000,450,0,900.00,2.00,0.00,0.00,0,450,0.00,0.00,1327.50,2.95,0,0,0.00,0.00,0.00,0.00,2.00,0,0.00,12.45,0.00,1.50,0.00,0.00,900.00,1327.5,2.00,2.95,427.50,0.0,CE,22800,2025-03-06,2,0.0,1.93
Ok,ADMIN,FA417461,NFO,NIFTY13MAR25P21400,NRML,M,45411,OPTIDX,NIFTY 13MAR25 21400 PE ,1801,2,75,0.05,1,1.000000,450,0,1147.50,2.55,0.00,0.00,0,450,0.00,0.00,1867.50,4.15,0,0,0.00,0.00,0.00,0.00,2.55,0,0.00,19.60,0.00,2.65,0.00,0.00,1147.50,1867.5,2.55,4.15,720.00,0.0,PE,21400,2025-03-13,6,0.05,1.75
Ok,ADMIN,FA417461,NFO,NIFTY20MAR25P21400,NRML,M,50118,OPTIDX,NIFTY 20MAR25 21400 PE ,1801,2,75,0.05,1,1.000000,450,0,3592.50,7.98,0.00,0.00,0,450,0.00,0.00,4545.00,10.10,0,0,0.00,0.00,0.00,0.00,7.98,0,0.00,40.49,0.00,6.25,0.00,0.00,3592.50,4545.0,7.98,10.10,952.50,0.0,PE,21400,2025-03-20,10,0.25,1.5
Ok,ADMIN,FA417461,NFO,NIFTY20MAR25C23200,NRML,M,50231,OPTIDX,NIFTY 20MAR25 23200 CE ,1801,2,75,0.05,1,1.000000,450,0,2677.50,5.95,0.00,0.00,0,450,0.00,0.00,4837.50,10.75,0,0,0.00,0.00,0.00,0.00,5.95,0,0.00,23.30,0.00,5.95,0.00,0.00,2677.50,4837.5,5.95,10.75,2160.00,0.0,CE,23200,2025-03-20,8,0.13,1.63
Ok,ADMIN,FA417461,NFO,NIFTY27MAR25P21300,NRML,M,46867,OPTIDX,NIFTY 27MAR25 21300 PE ,1801,2,75,0.05,1,1.000000,450,0,4387.50,9.75,0.00,0.00,0,450,0.00,0.00,6052.50,13.45,0,0,0.00,0.00,0.00,0.00,9.75,0,0.00,39.00,0.00,9.75,0.00,0.00,4387.50,6052.5,9.75,13.45,1665.00,0.0,PE,21300,2025-03-27,14,0.59,1.19
Ok,ADMIN,FA417461,NFO,NIFTY20MAR25C23000,NRML,M,50223,OPTIDX,NIFTY 20MAR25 23000 CE ,1801,2,75,0.05,1,1.000000,450,0,21847.50,48.55,0.00,0.00,0,450,0.00,0.00,12892.50,28.65,0,0,0.00,0.00,0.00,0.00,48.55,0,0.00,16.80,0.00,47.85,0.00,0.00,21847.50,12892.5,48.55,28.65,-8955.00,0.0,CE,23000,2025-03-20,1,0.0,1.97
Ok,ADMIN,FA417461,NFO,NIFTY20MAR25P21700,NRML,M,50134,OPTIDX,NIFTY 20MAR25 21700 PE ,1801,2,75,0.05,1,1.000000,450,0,165.00,0.37,0.00,0.00,0,450,0.00,0.00,472.50,1.05,0,0,0.00,0.00,0.00,0.00,0.37,0,0.00,19.30,0.00,0.20,0.00,0.00,165.00,472.5,0.37,1.05,307.50,0.0,PE,21700,2025-03-20,0,0.0,0.0
Ok,ADMIN,FA417461,NFO,NIFTY20MAR25C23100,NRML,M,50227,OPTIDX,NIFTY 20MAR25 23100 CE ,1801,2,75,0.05,1,1.000000,450,0,30352.50,67.45,0.00,0.00,0,450,0.00,0.00,8370.00,18.60,0,0,0.00,0.00,0.00,0.00,67.45,0,0.00,17.85,0.00,72.75,0.00,0.00,30352.50,8370.0,67.45,18.60,-21982.50,0.0,CE,23100,2025-03-20,0,0.0,0.0
Ok,ADMIN,FA417461,NFO,NIFTY27MAR25P21600,NRML,M,46891,OPTIDX,NIFTY 27MAR25 21600 PE ,1801,2,75,0.05,1,1.000000,450,0,1192.50,2.65,0.00,0.00,0,450,0.00,0.00,2205.00,4.90,0,0,0.00,0.00,0.00,0.00,2.65,0,0.00,19.80,0.00,2.70,0.00,0.00,1192.50,2205.0,2.65,4.90,1012.50,0.0,PE,21600,2025-03-27,7,0.09,0.27
Ok,ADMIN,FA417461,NFO,NIFTY03APR25P21600,NRML,M,54563,OPTIDX,NIFTY 03APR25 21600 PE ,1801,2,75,0.05,1,1.000000,450,0,3352.50,7.45,0.00,0.00,0,450,0.00,0.00,5062.50,11.25,0,0,0.00,0.00,0.00,0.00,7.45,0,0.00,47.40,0.00,7.40,0.00,0.00,3352.50,5062.5,7.45,11.25,1710.00,0.0,PE,21600,2025-04-03,14,0.59,1.01
Ok,ADMIN,FA417461,NFO,NIFTY09APR25P21500,NRML,M,43819,OPTIDX,NIFTY 09APR25 21500 PE ,1801,2,75,0.05,1,1.000000,450,0,5553.75,12.34,0.00,0.00,0,450,0.00,0.00,8122.50,18.05,0,0,0.00,0.00,0.00,0.00,12.34,0,0.00,38.00,0.00,12.05,0.00,0.00,5553.75,8122.5,12.34,18.05,2568.75,0.0,PE,21500,2025-04-09,20,1.34,0.61
Ok,ADMIN,FA417461,NFO,NIFTY27MAR25C23200,NRML,M,48695,OPTIDX,NIFTY 27MAR25 23200 CE ,1801,2,75,0.05,1,1.000000,450,0,76500.00,170.00,0.00,0.00,0,450,0.00,0.00,60660.00,134.80,0,0,0.00,0.00,0.00,0.00,170.00,0,0.00,34.45,0.00,169.25,0.00,0.00,76500.00,60660.0,170.00,134.80,-15840.00,0.0,CE,23200,2025-03-27,6,0.05,0.15
Ok,ADMIN,FA417461,NFO,NIFTY09APR25P22000,NRML,M,43839,OPTIDX,NIFTY 09APR25 22000 PE ,1801,2,75,0.05,1,1.000000,450,0,7065.00,15.70,0.00,0.00,0,450,0.00,0.00,10957.50,24.35,0,0,0.00,0.00,0.00,0.00,15.70,0,0.00,24.15,0.00,15.60,0.00,0.00,7065.00,10957.5,15.70,24.35,3892.50,0.0,PE,22000,2025-04-09,19,1.2,0.72
Ok,ADMIN,FA417461,NFO,NIFTY09APR25C23500,NRML,M,43908,OPTIDX,NIFTY 09APR25 23500 CE ,1801,2,75,0.05,1,1.000000,450,0,90517.50,201.15,0.00,0.00,0,450,0.00,0.00,66690.00,148.20,0,0,0.00,0.00,0.00,0.00,201.15,0,0.00,39.00,0.00,202.35,0.00,0.00,90517.50,66690.0,201.15,148.20,-23827.50,0.0,CE,23500,2025-04-09,19,1.2,0.72
Ok,ADMIN,FA417461,NFO,NIFTY03APR25P22200,NRML,M,54587,OPTIDX,NIFTY 03APR25 22200 PE ,1801,2,75,0.05,1,1.000000,450,0,3060.00,6.80,0.00,0.00,0,450,0.00,0.00,4342.50,9.65,0,0,0.00,0.00,0.00,0.00,6.80,0,0.00,17.60,0.00,6.80,0.00,0.00,3060.00,4342.5,6.80,9.65,1282.50,0.0,PE,22200,2025-04-03,10,0,0.5
Ok,ADMIN,FA417461,NFO,NIFTY03APR25P22400,NRML,M,54595,OPTIDX,NIFTY 03APR25 22400 PE ,1801,2,75,0.05,1,1.000000,525,0,5096.25,9.71,0.00,0.00,0,525,0.00,0.00,7533.75,14.35,0,0,0.00,0.00,0.00,0.00,9.71,0,0.00,14.72,0.00,9.50,0.00,0.00,5096.25,7533.75,9.71,14.35,2437.50,0.0,PE,22400,2025-04-03,10,0,0.5
Ok,ADMIN,FA417461,NFO,NIFTY03APR25C23600,NRML,M,54716,OPTIDX,NIFTY 03APR25 23600 CE ,1801,2,75,0.05,1,1.000000,450,0,67725.00,150.50,0.00,0.00,0,450,0.00,0.00,50467.50,112.15,0,0,0.00,0.00,0.00,0.00,150.50,0,0.00,41.00,0.00,169.05,0.00,0.00,67725.00,50467.5,150.50,112.15,-17257.50,0.0,CE,23600,2025-04-03,10,0,0.5
Ok,ADMIN,FA417461,NFO,NIFTY09APR25P22700,NRML,M,43869,OPTIDX,NIFTY 09APR25 22700 PE ,1801,2,75,0.05,1,1.000000,450,0,22410.00,49.80,0.00,0.00,0,450,0.00,0.00,10462.50,23.25,0,0,0.00,0.00,0.00,0.00,49.80,0,0.00,31.00,0.00,50.15,0.00,0.00,22410.00,10462.5,49.80,23.25,-11947.50,0.0,PE,22700,2025-04-09,8,0,0.5
